income,loan_amount,credit_score,credit_utilization,delinquencies,repayment_score,employment_years,dti,ltv,employment_type,loan_purpose,defaulted
92706.5,4023.58,648,0.0957,0,57.3,4.8,0.0178,0.05,Full-time,Major Purchase,0
127146.72,7779.82,595,0.1405,0,74.8,6.0,0.0226,0.05,Full-time,Debt Consolidation,0
104142.99,11020.73,669,0.321,0,59.8,17.5,0.0476,0.05,Full-time,Education,1
58680.06,6279.18,606,0.2903,0,51.6,0.9,0.0613,0.05,Self-employed,Education,0
55073.52,7067.46,676,0.0568,1,77.7,4.7,0.06,0.05,Full-time,Debt Consolidation,0
26588.68,11552.49,702,0.2669,0,44.0,6.9,0.1765,0.1082,Full-time,Home Improvement,0
95852.89,8531.7,715,0.2389,1,67.3,8.7,0.0518,0.05,Full-time,Debt Consolidation,0
28013.62,21560.02,775,0.6735,0,48.5,1.8,0.3578,0.2019,Full-time,Debt Consolidation,0
91392.29,63227.45,610,0.3782,0,72.3,1.8,0.1958,0.2026,Full-time,Home Improvement,0
26474.39,21179.51,643,0.2321,0,100.0,3.0,0.2551,0.2223,Full-time,Debt Consolidation,0
110962.79,10026.43,645,0.5468,0,86.2,1.4,0.0572,0.05,Full-time,Home Improvement,0
57008.18,8797.27,529,0.2373,1,51.8,3.0,0.0881,0.05,Full-time,Debt Consolidation,1
63755.7,17196.69,726,0.2,0,51.6,7.0,0.0873,0.1417,Full-time,Major Purchase,0
52934.46,12970.32,635,0.4208,1,78.0,1.7,0.1387,0.129,Full-time,Education,0
44483.96,15519.97,751,0.4012,0,100.0,17.4,0.1487,0.1099,Full-time,Debt Consolidation,0
33383.5,26706.8,598,0.2731,0,52.3,4.3,0.2509,0.2038,Part-time,Debt Consolidation,1
52776.02,42220.81,786,0.2487,0,72.0,1.0,0.2259,0.3098,Full-time,Major Purchase,0
64737.71,16385.2,639,0.3404,0,78.1,7.3,0.0986,0.068,Self-employed,Debt Consolidation,0
75973.21,16828.78,711,0.2567,0,100.0,8.9,0.0775,0.1245,Full-time,Debt Consolidation,0
71899.1,57519.28,462,0.2062,0,36.9,2.9,0.2127,0.215,Full-time,Debt Consolidation,1
144138.98,3840.09,739,0.1741,0,76.2,9.4,0.0151,0.05,Full-time,Debt Consolidation,0
218442.13,20934.39,549,0.6372,0,62.8,5.7,0.044,0.05,Full-time,Debt Consolidation,0
48270.22,14243.43,702,0.1876,0,73.9,2.2,0.0988,0.0844,Full-time,Education,0
131991.92,10824.64,689,0.4666,0,74.6,11.1,0.0451,0.05,Full-time,Major Purchase,0
104207.59,4538.74,651,0.5121,3,57.7,3.4,0.0804,0.05,Full-time,Business,1
64861.71,9062.97,709,0.4669,0,82.6,3.9,0.0854,0.0596,Full-time,Debt Consolidation,0
38906.83,15100.06,663,0.3807,0,81.6,7.8,0.1636,0.1839,Full-time,Debt Consolidation,0
62470.56,2159.39,733,0.2195,0,83.2,2.4,0.0336,0.05,Full-time,Debt Consolidation,0
59488.96,6022.08,749,0.1703,0,100.0,3.2,0.0449,0.05,Full-time,Debt Consolidation,0
82462.2,3326.6,696,0.197,1,94.1,10.0,0.0414,0.05,Full-time,Major Purchase,0
39943.49,16549.33,671,0.0474,1,59.2,5.1,0.138,0.2117,Full-time,Debt Consolidation,0
72972.08,52567.7,576,0.6308,0,50.5,3.7,0.2351,0.2838,Full-time,Debt Consolidation,1
78824.96,8289.73,689,0.5131,0,48.4,5.9,0.0721,0.05,Full-time,Home Improvement,0
64852.06,18101.5,734,0.563,1,81.1,5.5,0.148,0.0681,Full-time,Debt Consolidation,0
61126.2,15873.4,591,0.4117,0,67.4,8.0,0.1108,0.0784,Full-time,Home Improvement,0
40385.47,12709.96,720,0.4411,1,80.7,2.4,0.1839,0.0769,Full-time,Education,0
37519.35,25650.05,826,0.1956,0,93.7,3.5,0.2016,0.1897,Full-time,Home Improvement,0
35466.3,6324.51,719,0.1958,1,79.6,6.3,0.1164,0.05,Full-time,Home Improvement,0
111007.86,22422.26,620,0.2514,1,44.3,5.8,0.0756,0.0629,Full-time,Debt Consolidation,1
123333.01,11454.39,659,0.263,0,86.9,2.4,0.0376,0.05,Full-time,Debt Consolidation,0
47045.08,23173.21,609,0.3934,0,51.3,15.0,0.1784,0.1482,Full-time,Home Improvement,0
60950.39,48760.31,500,0.3907,1,54.3,2.6,0.2578,0.1879,Full-time,Debt Consolidation,1
45961.09,25340.7,681,0.6526,0,100.0,13.9,0.2346,0.1328,Self-employed,Education,0
65265.57,6392.1,745,0.3587,0,79.5,8.4,0.0631,0.05,Full-time,Home Improvement,0
85565.14,4950.29,607,0.3888,1,72.2,8.0,0.0606,0.05,Full-time,Major Purchase,0
158988.77,7019.83,468,0.2487,0,50.9,9.5,0.0219,0.05,Part-time,Debt Consolidation,0
83168.3,4157.67,806,0.1852,0,93.7,3.8,0.028,0.05,,Debt Consolidation,0
54689.83,10913.56,792,0.2054,2,99.0,13.0,0.1188,0.0919,Self-employed,Debt Consolidation,1
73514.61,21155.59,581,0.3654,0,34.9,9.0,0.1049,0.0697,Full-time,Debt Consolidation,1
38807.76,13249.73,637,0.0674,1,61.1,3.6,0.1254,0.1483,Full-time,Education,0
64988.24,4761.09,588,0.0406,2,56.9,1.4,0.059,0.05,Self-employed,Home Improvement,0
80392.64,20274.13,713,0.2651,0,77.7,5.1,0.0843,0.0713,Part-time,Business,0
51121.87,2610.12,633,0.3132,0,83.1,3.0,0.0564,0.05,Full-time,Education,0
88014.58,3479.9,695,0.1147,1,88.1,16.7,0.0325,0.05,Full-time,Debt Consolidation,0
33700.22,26960.17,550,0.3837,1,70.6,13.3,0.3096,0.1986,Full-time,Debt Consolidation,1
33146.68,26517.34,706,0.1153,1,76.2,3.0,0.2532,0.3428,Self-employed,Debt Consolidation,0
70959.29,18889.07,697,0.3869,1,91.5,10.1,0.1201,0.1131,Self-employed,Home Improvement,0
88237.4,70589.92,681,0.3504,0,76.8,8.6,0.2206,0.2092,Full-time,Debt Consolidation,0
48039.43,15377.65,527,0.1527,0,52.0,2.9,0.0997,0.1551,Full-time,Debt Consolidation,1
60123.72,25820.42,844,0.1439,1,99.9,5.9,0.1403,0.2037,Full-time,Major Purchase,0
30489.72,24391.77,603,0.416,1,64.2,5.2,0.3296,0.1972,Full-time,Home Improvement,1
66072.96,13087.27,625,0.2949,0,43.5,6.4,0.0797,0.0608,Full-time,Debt Consolidation,0
83622.26,7140.18,816,0.3287,0,88.8,7.3,0.0488,0.05,Full-time,Business,0
29006.41,23205.12,369,0.3033,0,43.0,12.0,0.2673,0.2752,Part-time,Debt Consolidation,1
57147.01,26079.15,628,0.2888,0,73.3,1.2,0.1459,0.1527,Full-time,Business,0
56221.53,27188.63,605,0.12,0,63.3,3.0,0.1314,0.2093,Full-time,Debt Consolidation,0
37810.91,29847.74,622,0.2142,0,92.1,4.1,0.2302,0.182,Full-time,Major Purchase,0
25601.21,11315.26,633,0.3141,2,71.3,10.2,0.2882,0.1737,Full-time,Business,1
25961.68,7395.35,573,0.1192,1,52.1,7.6,0.1476,0.1609,Full-time,Debt Consolidation,1
57277.69,32982.59,517,0.2598,0,41.8,9.8,0.1709,0.1742,Self-employed,Debt Consolidation,1
82873.18,3214.96,727,0.2458,0,82.7,10.0,0.0307,0.05,Full-time,Debt Consolidation,0
87041.33,19731.0,636,0.5617,0,49.7,1.5,0.1009,0.0827,Full-time,Debt Consolidation,0
49407.77,5294.64,662,0.162,1,60.6,7.3,0.0736,0.05,Full-time,Home Improvement,0
30338.61,23890.46,628,0.0995,0,93.0,8.1,0.2126,0.2663,Full-time,Education,0
36431.99,9817.13,676,0.3115,0,84.4,2.5,0.1262,0.0988,Full-time,Debt Consolidation,0
49786.7,39829.36,585,0.1389,0,58.7,9.4,0.2121,0.1954,Part-time,Debt Consolidation,0
32366.68,25893.34,716,0.6157,1,78.3,1.5,0.366,0.2747,Full-time,Debt Consolidation,0
15618.63,11579.42,646,0.5665,0,54.6,3.3,0.4391,0.3699,Full-time,Debt Consolidation,1
66722.08,27352.31,740,0.3737,0,100.0,3.4,0.1387,0.0993,Full-time,Home Improvement,0
67506.45,12180.79,686,0.2681,0,63.5,4.9,0.0719,0.0688,Self-employed,Debt Consolidation,0
43962.23,9403.42,590,0.3029,0,75.7,7.2,0.1009,0.0535,Full-time,Debt Consolidation,0
55618.62,31012.31,683,0.2744,1,87.1,11.2,0.1909,0.1943,Full-time,Debt Consolidation,0
49249.31,8577.55,736,0.585,0,66.4,3.3,0.1273,0.1071,Unemployed,Debt Consolidation,0
106807.99,56037.27,709,0.2307,2,73.3,3.5,0.1639,0.2239,Full-time,Debt Consolidation,0
63815.99,9286.37,694,0.177,0,56.0,6.9,0.0549,0.05,Self-employed,Debt Consolidation,0
46567.47,15378.32,724,0.1146,0,86.1,16.0,0.097,0.187,Full-time,Home Improvement,0
81874.44,36752.55,625,0.2186,0,50.2,2.9,0.127,0.1147,Self-employed,Debt Consolidation,0
96325.04,12013.95,633,0.5743,2,62.3,6.5,0.0978,0.0596,Full-time,Home Improvement,0
38833.82,16354.02,696,0.5622,0,69.8,10.5,0.2053,0.1177,Full-time,Education,0
53979.0,2377.28,648,0.5902,1,81.8,4.1,0.1115,0.05,Full-time,Debt Consolidation,0
43087.16,12161.51,712,0.3626,0,46.6,6.4,0.1283,0.1001,Full-time,Home Improvement,0
104333.01,2897.75,652,0.6023,0,68.4,5.6,0.0482,0.05,Full-time,Debt Consolidation,0
121996.59,12577.89,660,0.4184,0,67.5,7.5,0.0494,0.05,Full-time,Education,0
108252.8,18569.65,611,0.4085,0,50.9,4.7,0.0683,0.05,Full-time,Home Improvement,0
188514.0,35403.67,615,0.2474,0,88.7,6.1,0.0545,0.0515,Full-time,Business,0
33488.36,10812.64,647,0.6308,0,87.9,8.9,0.2131,0.1381,Full-time,Debt Consolidation,0
59198.66,11479.37,534,0.1687,0,80.3,3.3,0.0671,0.0525,Full-time,Education,0
79783.14,18888.18,684,0.2402,0,75.4,3.2,0.0785,0.0652,Unemployed,Debt Consolidation,0
38958.54,28872.61,734,0.6597,0,73.7,11.2,0.2998,0.2874,Part-time,Home Improvement,0
44839.89,35871.91,727,0.224,0,75.7,2.2,0.228,0.3333,Full-time,Debt Consolidation,0
74088.73,11795.36,634,0.6932,0,77.8,4.9,0.1056,0.0888,Full-time,Debt Consolidation,0
63516.34,7557.88,666,0.2419,1,56.1,4.8,0.0749,0.05,Self-employed,Home Improvement,0
188871.02,11137.45,613,0.1608,1,55.5,4.6,0.0266,0.05,Full-time,Business,0
36523.97,13776.42,676,0.1886,2,76.1,7.3,0.1934,0.2158,Full-time,Major Purchase,0
51525.22,4768.82,683,0.2471,0,82.7,2.2,0.0567,0.05,Full-time,Home Improvement,0
68624.53,11366.74,702,0.1983,1,54.6,2.9,0.078,0.05,Full-time,Debt Consolidation,0
32243.1,10808.59,611,0.3102,1,66.1,5.7,0.1869,0.1815,Full-time,Debt Consolidation,0
162036.29,13867.8,669,0.0589,0,92.5,4.5,0.0232,0.05,Full-time,Debt Consolidation,0
84639.77,2109.63,599,0.2845,2,57.6,6.0,0.0585,0.05,Self-employed,Education,0
107671.1,16222.23,714,0.3641,0,66.9,8.8,0.0605,0.0535,Full-time,Education,0
42393.57,33914.86,755,0.2413,0,89.3,12.3,0.233,0.2071,Full-time,Debt Consolidation,0
95598.79,3682.65,679,0.4442,0,71.3,7.7,0.0427,0.05,Part-time,Home Improvement,0
55012.64,8268.74,646,0.0701,0,95.4,9.8,0.0452,0.057,Self-employed,Major Purchase,0
20708.23,3610.01,568,0.1617,0,62.5,4.7,0.098,0.0525,Full-time,Education,0
51316.94,28968.65,726,0.0982,0,81.5,7.8,0.1493,0.1432,Full-time,Debt Consolidation,0
27650.61,11731.03,531,0.3795,1,50.5,10.7,0.244,0.1226,Full-time,Education,1
61834.15,23656.83,575,0.2268,2,83.5,5.0,0.157,0.093,Full-time,Education,0
53803.2,7491.58,545,0.165,0,55.0,13.7,0.0555,0.05,Full-time,Debt Consolidation,0
43036.5,15313.66,573,0.2577,1,66.8,3.3,0.1564,0.1757,Full-time,Debt Consolidation,0
143542.67,34065.74,495,0.0854,1,52.3,4.1,0.0696,0.067,Unemployed,Education,1
97732.21,16095.23,644,0.3199,0,71.9,7.2,0.0631,0.0866,Part-time,Business,1
43146.68,34517.35,493,0.2978,0,45.7,3.2,0.2417,0.2586,Part-time,Major Purchase,1
26068.98,4944.94,652,0.0901,0,82.9,4.8,0.0704,0.0535,Self-employed,Debt Consolidation,0
74817.84,2186.29,677,0.1936,0,73.0,3.8,0.0256,0.05,Full-time,Debt Consolidation,0
80583.41,14070.21,648,0.3246,0,73.9,5.7,0.0709,0.05,Full-time,Major Purchase,0
65039.75,16683.68,614,0.3842,0,36.9,3.0,0.1041,0.1432,Full-time,Major Purchase,0
75313.23,58052.19,741,0.4275,0,69.9,9.3,0.2259,0.2401,Full-time,Debt Consolidation,0
59987.7,35612.6,645,0.3363,0,95.8,3.3,0.1828,0.2219,Full-time,Debt Consolidation,0
108104.07,5515.39,637,0.3069,0,65.0,3.3,0.0327,0.05,Full-time,Debt Consolidation,0
42239.44,16424.8,768,0.1032,0,85.9,3.0,0.1109,0.1585,Full-time,Business,1
64830.09,2256.77,710,0.0437,0,64.5,3.0,0.0132,0.05,Full-time,Debt Consolidation,0
69899.03,5879.56,691,0.6397,0,49.7,3.1,0.0861,0.05,Full-time,Business,0
97326.23,10179.29,648,0.3511,1,99.9,2.2,0.0634,0.0623,Full-time,Debt Consolidation,0
106905.17,19222.67,702,0.1183,0,86.6,3.1,0.0511,0.1075,Full-time,Debt Consolidation,1
46990.35,3558.09,751,0.3168,0,76.0,2.0,0.0667,0.05,Self-employed,Debt Consolidation,0
50331.32,40265.05,587,0.4845,0,44.9,5.3,0.2613,0.2033,Full-time,Debt Consolidation,1
71693.74,28381.51,757,0.4196,1,84.6,2.4,0.1539,0.1047,Part-time,Debt Consolidation,0
82380.41,6651.76,730,0.0338,0,72.3,2.7,0.0223,0.05,Full-time,Home Improvement,0
54859.51,13569.92,703,0.2261,0,84.8,3.3,0.089,0.0955,Unemployed,Major Purchase,0
69677.25,12276.87,730,0.1276,0,,,0.0555,0.0637,Full-time,Debt Consolidation,0
57341.8,24680.17,707,0.0652,2,71.4,3.3,0.1533,0.1046,Full-time,Major Purchase,0
91812.51,26718.85,694,0.2705,1,78.6,3.7,0.1041,0.1347,Full-time,Debt Consolidation,0
47564.13,27931.63,664,0.4856,0,84.7,11.1,0.2144,0.203,Full-time,Home Improvement,0
85571.05,25155.36,637,0.5034,1,52.3,2.4,0.1269,0.1581,Full-time,Debt Consolidation,1
23893.93,19115.14,601,0.3626,2,42.2,4.1,0.4017,0.4134,Part-time,Major Purchase,1
39970.16,24826.65,564,0.1916,0,49.6,9.6,0.1836,0.1548,Self-employed,Debt Consolidation,0
24196.35,19357.08,652,0.286,1,82.5,11.8,0.3267,0.2857,Full-time,Debt Consolidation,0
74191.81,11161.86,458,0.1936,1,38.6,5.1,0.0711,0.0543,Part-time,Home Improvement,1
102328.3,32791.52,658,0.2466,0,67.0,1.9,0.0943,0.0773,Full-time,Debt Consolidation,0
24666.25,19733.0,748,0.2902,0,70.9,11.1,0.2767,0.318,Full-time,Home Improvement,0
64327.27,22356.74,695,0.4314,0,89.2,6.3,0.1317,0.1764,Full-time,Debt Consolidation,0
43413.78,34731.02,669,0.5575,1,75.7,7.2,0.3121,0.2209,Full-time,Debt Consolidation,1
32829.06,15291.16,713,0.3637,0,81.5,9.9,0.1916,0.1378,Full-time,Debt Consolidation,0
88975.98,13205.14,715,0.1073,0,75.0,4.7,0.0443,0.0555,Full-time,Debt Consolidation,0
53779.41,15358.26,600,0.68,0,59.0,10.6,0.1596,0.1651,Full-time,Debt Consolidation,0
120880.66,43211.23,646,0.5058,0,67.9,4.6,0.1159,0.1884,Full-time,Home Improvement,0
45517.44,36413.95,798,0.0696,2,,,0.2557,0.3106,Full-time,Home Improvement,0
48856.42,20941.05,581,0.4046,1,68.5,2.4,0.1871,0.1154,Part-time,Debt Consolidation,1
31631.29,25086.28,701,0.0352,0,85.6,7.0,0.1983,0.2179,Full-time,Education,0
74092.54,6176.99,665,0.6217,0,42.5,4.6,0.0804,0.05,Full-time,Home Improvement,0
46778.89,8993.12,747,0.2813,1,97.8,6.4,0.1151,0.0523,Full-time,Debt Consolidation,0
16020.85,12816.68,584,0.2498,0,54.6,1.4,0.3042,0.2167,Full-time,Major Purchase,1
94668.62,2036.37,680,0.0746,0,60.0,5.2,0.0108,0.05,Self-employed,Debt Consolidation,0
56048.94,4081.74,615,0.0748,0,58.1,6.3,0.0271,0.05,Full-time,Debt Consolidation,0
34855.82,27534.9,654,0.1313,1,73.0,2.9,0.2511,0.1893,Full-time,Business,0
67563.14,2530.32,676,0.3551,0,96.8,3.1,0.0468,0.05,Full-time,Debt Consolidation,0
69637.4,44253.68,617,0.2018,0,65.3,5.6,0.1734,0.1628,Full-time,Education,0
34200.03,16296.72,746,0.2727,1,68.0,3.0,0.2069,0.1338,Full-time,Debt Consolidation,0
109507.94,36624.94,719,0.2274,1,,,0.1062,0.1222,Full-time,Debt Consolidation,0
33175.25,3719.12,730,0.6895,1,65.9,6.9,0.2127,0.0515,Part-time,Major Purchase,0
37039.32,12977.36,679,0.216,0,86.1,3.3,0.1261,0.143,Full-time,Debt Consolidation,0
47926.07,37656.43,697,0.0944,1,79.0,5.4,0.2278,0.1899,Full-time,Debt Consolidation,0
25117.98,20094.38,736,0.1627,0,85.1,8.2,0.2386,0.3029,Full-time,Debt Consolidation,0
48605.61,23405.26,778,0.1134,1,88.0,5.1,0.1571,0.1282,Full-time,Major Purchase,0
62507.77,28001.03,725,0.3708,0,79.1,8.2,0.1502,0.184,Full-time,Business,0
52281.43,17881.67,761,0.4414,1,90.4,2.9,0.1658,0.1563,Part-time,Debt Consolidation,0
35413.5,26575.89,708,0.3836,0,68.2,3.1,0.2581,0.3838,Part-time,Major Purchase,0
71148.06,5677.44,716,0.1978,0,64.9,3.6,0.0392,0.05,Full-time,Debt Consolidation,0
117116.38,48121.2,608,0.2497,0,57.1,7.5,0.114,0.1318,Full-time,Debt Consolidation,0
43586.43,9398.15,728,0.5252,1,86.6,4.8,0.166,0.0849,Unemployed,Major Purchase,0
48634.73,34869.28,628,0.2509,0,53.5,3.9,0.2092,0.254,Self-employed,Home Improvement,0
78035.58,62428.46,568,0.2465,1,82.5,11.8,0.2301,0.2494,Self-employed,Major Purchase,0
36582.73,9436.2,828,0.0849,1,84.8,10.0,0.1114,0.1062,Full-time,Debt Consolidation,0
13581.55,10865.24,580,0.2909,0,28.9,1.6,0.3462,0.2208,Self-employed,Debt Consolidation,1
165123.37,17453.0,556,0.234,0,71.3,8.4,0.0356,0.05,Part-time,Business,0
29443.65,23554.92,723,0.2425,0,81.9,5.2,0.2513,0.2745,Full-time,Debt Consolidation,0
50450.61,40360.49,652,0.1959,0,75.6,17.9,0.22,0.2219,Full-time,Home Improvement,0
42937.22,34349.78,714,0.3322,0,87.6,11.7,0.2477,0.2423,Full-time,Business,0
38446.36,24860.16,610,0.2181,0,58.9,2.3,0.196,0.2355,Full-time,Home Improvement,0
66049.75,19613.06,551,0.1333,0,38.5,5.8,0.0858,0.1789,Full-time,Debt Consolidation,0
51884.15,17753.72,697,0.1297,0,63.2,6.4,0.1001,0.1713,Full-time,Home Improvement,0
61299.21,25464.61,814,0.5914,0,100.0,1.9,0.1692,0.1785,Full-time,Debt Consolidation,0
56123.78,3993.07,705,0.033,0,85.4,2.0,0.0213,0.05,Full-time,Debt Consolidation,0
62552.74,38159.43,762,0.1518,1,90.4,17.0,0.1831,0.144,Full-time,Major Purchase,0
135825.03,65970.56,524,0.6844,2,53.3,8.4,0.1705,0.2377,Full-time,Major Purchase,1
32063.87,25651.1,632,0.229,0,73.3,4.9,0.2434,0.3952,Self-employed,Debt Consolidation,0
108967.38,15489.19,626,0.442,1,57.1,4.6,0.0743,0.0801,Full-time,Major Purchase,0
59416.75,6902.34,618,0.0766,1,61.8,3.2,0.0574,0.05,Full-time,Major Purchase,0
42633.1,34106.48,611,0.3045,0,76.2,4.0,0.2434,0.3998,Full-time,Debt Consolidation,0
31310.39,4598.42,658,0.395,0,70.6,6.6,0.1261,0.0767,Self-employed,Home Improvement,0
146747.71,10594.03,629,0.088,1,,,0.0298,0.05,Full-time,Debt Consolidation,0
27203.68,21762.94,680,0.133,0,67.6,1.6,0.2272,0.3661,Full-time,Home Improvement,0
56852.4,3854.08,736,0.4549,1,73.2,4.1,0.095,0.05,Full-time,Debt Consolidation,0
25317.28,20253.83,666,0.3226,0,,,0.2837,0.2492,Self-employed,Business,0
48963.85,11101.98,684,0.0973,1,97.2,3.4,0.0932,0.0967,Part-time,Debt Consolidation,0
59579.76,37107.0,661,0.2227,1,100.0,5.2,0.1965,0.1889,Full-time,Major Purchase,0
39794.87,31835.9,621,0.4567,1,59.5,13.3,0.3048,0.1828,Full-time,Major Purchase,0
49581.51,31510.85,797,0.3978,1,100.0,5.3,0.2345,0.1789,Full-time,Debt Consolidation,0
43951.07,35160.85,785,0.0603,0,100.0,5.6,0.2019,0.2993,Full-time,Education,0
64969.98,10355.7,683,0.5834,2,71.1,2.5,0.1398,0.0632,Full-time,Home Improvement,0
68677.1,32051.31,465,0.1046,2,35.4,5.4,0.1579,0.1512,Full-time,Debt Consolidation,1
24810.84,19848.67,766,0.6018,0,100.0,2.1,0.3666,0.2725,Full-time,Education,0
17741.44,14193.15,589,0.4961,3,61.1,5.9,0.5962,0.2024,Full-time,Business,1
41632.06,4646.48,646,0.2356,0,45.6,3.2,0.0675,0.05,Full-time,Home Improvement,0
28945.07,5874.62,541,0.453,0,43.8,6.4,0.1614,0.0654,Full-time,Home Improvement,1
54323.46,27129.88,559,0.4071,1,87.8,5.2,0.1959,0.1452,Full-time,Debt Consolidation,0
37227.55,9686.35,713,0.3334,1,88.8,5.1,0.1592,0.0799,Full-time,Home Improvement,0
46258.25,14749.12,598,0.3426,0,58.0,5.7,0.1299,0.0962,Full-time,Debt Consolidation,0
84347.89,20300.14,700,0.2096,0,91.3,6.6,0.0757,0.0976,Full-time,Education,0
26106.97,14712.95,708,0.4946,1,83.1,3.1,0.3176,0.1685,Full-time,Debt Consolidation,0
87868.24,29491.08,549,0.217,0,67.4,5.2,0.0983,0.1063,Part-time,Debt Consolidation,0
92241.39,8881.15,665,0.3188,0,84.4,8.3,0.048,0.05,Full-time,Debt Consolidation,0
60380.53,8114.49,666,0.0773,0,76.7,2.1,0.0415,0.05,Full-time,Education,0
66180.95,10472.98,600,0.1369,0,83.6,3.2,0.0529,0.069,Part-time,Education,0
65252.83,8939.13,652,0.131,1,71.4,4.8,0.0657,0.0566,Full-time,Debt Consolidation,0
78753.1,14705.28,534,0.2096,0,59.2,7.3,0.064,0.0887,Full-time,Debt Consolidation,0
19486.75,15589.4,695,0.1327,0,63.9,4.6,0.241,0.207,Full-time,Education,0
181910.28,4622.49,683,0.2497,0,,,0.016,0.05,Part-time,Home Improvement,0
97061.36,26576.23,521,0.196,0,51.4,2.3,0.0803,0.1554,Full-time,Major Purchase,0
143364.58,33659.01,495,0.1786,0,69.3,4.0,0.0653,0.1006,Full-time,Debt Consolidation,0
48093.8,12787.4,736,0.4055,1,91.2,6.5,0.1495,0.0646,Full-time,Home Improvement,0
118445.55,48429.28,657,0.1357,1,94.7,2.9,0.1165,0.1151,Unemployed,Debt Consolidation,0
79234.72,7635.56,458,0.45,0,30.9,9.2,0.064,0.0504,Full-time,Major Purchase,1
24551.51,19641.21,587,0.2575,0,79.0,2.3,0.2675,0.4184,Full-time,Debt Consolidation,0
45328.85,9570.89,690,0.2114,0,,,0.0842,0.062,Full-time,Home Improvement,0
55385.26,14634.41,598,0.1648,0,69.9,1.0,0.0848,0.0893,Full-time,Debt Consolidation,0
19995.12,15996.09,581,0.5422,1,65.2,8.5,0.4473,0.4048,Full-time,Home Improvement,1
64805.0,6286.65,565,0.3662,3,53.7,8.9,0.1195,0.05,Part-time,Debt Consolidation,0
48866.22,39092.98,618,0.0694,0,57.3,1.9,0.2022,0.2378,Full-time,Major Purchase,0
90687.03,28548.92,695,0.5458,0,44.2,3.8,0.1189,0.0789,Self-employed,Debt Consolidation,0
57457.5,40440.7,702,0.373,0,86.3,4.3,0.2157,0.1998,Self-employed,Education,0
147383.39,70054.23,519,0.3058,0,61.4,1.9,0.129,0.23,Self-employed,Debt Consolidation,1
91359.37,12358.15,850,0.5269,0,100.0,1.9,0.074,0.05,Full-time,Debt Consolidation,0
51187.37,12428.02,545,0.2118,0,40.0,4.8,0.0881,0.1246,Full-time,Debt Consolidation,0
35394.39,13117.63,564,0.2972,1,48.5,3.8,0.1833,0.0886,Full-time,Debt Consolidation,1
78293.36,9012.84,582,0.3581,1,86.4,4.8,0.0759,0.05,Full-time,Debt Consolidation,0
146817.5,16366.62,612,0.1442,0,63.1,3.3,0.0338,0.05,Self-employed,Business,0
35675.07,28540.06,561,0.4406,1,58.3,2.1,0.3146,0.3495,Full-time,Debt Consolidation,1
71580.29,50359.4,495,0.6408,1,18.4,4.0,0.2501,0.2193,Unemployed,Debt Consolidation,1
26238.46,4359.59,596,0.2122,0,62.8,4.5,0.0981,0.0605,Full-time,Debt Consolidation,0
28393.6,7561.78,681,0.1009,0,81.5,3.5,0.0895,0.069,Full-time,Business,0
105531.06,58791.38,668,0.2294,0,63.2,4.8,0.1494,0.1435,Full-time,Debt Consolidation,0
42846.61,4551.18,625,0.2211,0,80.3,7.0,0.0626,0.05,Full-time,Home Improvement,0
102565.44,16132.32,577,0.0498,0,53.5,6.7,0.0412,0.05,Full-time,Debt Consolidation,0
38874.74,31099.79,711,0.0412,0,96.1,7.5,0.1996,0.3856,Full-time,Debt Consolidation,0
77039.6,18401.85,541,0.3189,0,60.6,3.8,0.0871,0.0681,Self-employed,Major Purchase,0
40509.97,2629.7,787,0.2607,0,94.0,6.4,0.0619,0.05,Full-time,Debt Consolidation,1
38637.4,30909.92,728,0.38,0,87.8,6.2,0.2628,0.3456,Part-time,Business,0
52853.0,5605.88,513,0.298,0,54.6,1.7,0.0661,0.05,Full-time,Home Improvement,0
106215.8,4454.87,600,0.4917,0,60.3,9.6,0.0434,0.05,Self-employed,Debt Consolidation,0
55673.71,4349.25,578,0.4562,0,45.9,18.6,0.0777,0.0507,,Debt Consolidation,0
29731.19,21997.61,704,0.1493,1,63.9,6.5,0.2541,0.3747,Full-time,Home Improvement,0
25589.23,20471.38,636,0.4022,0,63.7,4.2,0.3052,0.2633,Self-employed,Home Improvement,0
45770.63,31705.2,785,0.0369,2,77.2,3.6,0.2245,0.3029,Part-time,Education,1
128425.56,18577.37,734,0.5133,0,85.4,10.3,0.0635,0.05,Full-time,Debt Consolidation,0
18337.3,14669.84,687,0.4386,2,72.8,5.2,0.4951,0.3462,Full-time,Home Improvement,1
82608.52,55908.49,691,0.4237,1,100.0,8.2,0.2139,0.1756,Full-time,Debt Consolidation,0
37787.64,19851.43,557,0.5783,0,74.3,3.4,0.2363,0.1792,Full-time,Debt Consolidation,1
73191.5,15911.59,658,0.3208,1,65.0,10.8,0.1001,0.1148,Part-time,Education,0
33633.3,23678.11,702,0.4483,0,72.3,4.6,0.2649,0.1639,Full-time,Home Improvement,0
45292.17,11447.89,707,0.2553,1,83.3,1.4,0.1277,0.0629,Full-time,Debt Consolidation,0
22956.4,18365.12,661,0.3492,0,62.3,7.3,0.3015,0.3217,Full-time,Debt Consolidation,1
45267.06,16074.23,710,0.4886,0,62.4,18.8,0.1629,0.1485,Full-time,Business,0
54887.72,34537.24,677,0.3907,1,75.0,3.3,0.2241,0.2904,,Debt Consolidation,0
